addr_state,loan_count,total_amnt,default_rate,avg_int_rate
AK,5231,90419900.0,0.1319059453259415,13.326289428407572
AL,27284,400699250.0,0.15771147925524118,13.567154009675999
AR,17074,240650500.0,0.1547967670141736,13.354703057280076
AZ,53777,780966125.0,0.13046469680346617,12.96290588913476
CA,314566,4808905800.0,0.13434700508001501,12.976490879497467
CO,48183,727724225.0,0.1046012078949007,12.887730734906503
CT,35785,547556950.0,0.10725164174933631,13.050378091379068
DC,5356,84707250.0,0.0948469006721434,12.578114264376401
DE,6458,96450975.0,0.1258903685351502,13.199143697739236
FL,161991,2333034500.0,0.14064978918581897,13.164734892679222
GA,74196,1136790825.0,0.11908997789638255,13.208650331554262
HI,10668,169562100.0,0.13976377952755906,13.786781964754404
ID,4308,62088425.0,0.08588672237697308,13.295013927576601
IL,91173,1410451950.0,0.11235782523334759,12.960123611156813
IN,37515,550776675.0,0.13490603758496603,13.180944155671066
KS,19109,283877825.0,0.10743628656653932,12.995099691244963
KY,21887,313557625.0,0.13409786631333667,13.186525791565769
LA,25759,382046275.0,0.15175278543421716,13.224465623665516
MA,51784,811746725.0,0.1251931098408775,12.676826819094702
MD,54008,856883500.0,0.1373870537698119,13.23611390905051
ME,4974,73320525.0,0.06453558504221954,12.817557297949337
MI,58770,841646100.0,0.13268674493789348,13.1645940105496
MN,39517,577447675.0,0.13050079712528784,12.97056001214667
MO,36084,524098650.0,0.1380667331781399,13.049272253630418
MS,12639,186427150.0,0.1551546799588575,13.4458137510879
MT,6299,88170825.0,0.11176377202730592,12.956177170979522
NC,62730,930436100.0,0.13730272596843615,13.188916626813327
ND,3591,55622875.0,0.10554163185742133,13.245795043163465
NE,7819,110941450.0,0.12904463486379333,13.179450057552115
NH,11142,166469500.0,0.09513552324537784,12.699506372285047
NJ,83132,1316207975.0,0.13474955492469806,12.989854328056586
NM,11986,178280525.0,0.1425830135157684,13.155975304521942
NV,32657,470165300.0,0.14689040634473466,13.205397005236245
NY,186389,2767160700.0,0.14348486230410593,13.260060143034192
OH,75132,1077142925.0,0.12882659851993825,13.137271601980514
OK,20691,310665375.0,0.15233676477695615,13.26329708568943
OR,26789,379466875.0,0.0969427750195976,12.954577998432192
PA,76939,1131987950.0,0.13499005705818895,13.14572544483292
RI,10005,142960100.0,0.11574212893553223,13.033194402798602
SC,28003,418481900.0,0.1033103596043281,13.266586794272042
SD,4549,64670375.0,0.13959111892723675,13.21509342712684
TN,35483,522342125.0,0.1342051123073021,13.287132147789082
TX,186335,2931133525.0,0.1293691469664851,12.999443797461561
UT,14993,227578525.0,0.12432468485293137,13.098307210031349
VA,62954,1013015875.0,0.13247768211710137,13.113696508561807
VT,4937,68206775.0,0.08446424954425764,12.986204172574437
WA,47060,721608300.0,0.10754356141096473,13.157429664258395
WI,29877,431766050.0,0.12220102419921679,12.849949124744787
WV,8351,125954800.0,0.09663513351694408,13.116532151838104
WY,4748,74153325.0,0.11183656276326874,13.210143218197135
